exp_id	study	model	d_q	d_seq	d_model	num_head	d_ff	implementation	n_learners	codebook_size	sve_bits	executable	gem5_timestamp	stats_file	row_index	row_kind	dump_index	checkpoint	interval	sim_seconds	instructions	ops	cpu_cycles	memory_references	load_instructions	store_instructions	dcache_demand_accesses	dcache_demand_misses	icache_demand_accesses	icache_demand_misses	l2_demand_accesses	l2_demand_misses	committed_branches	branch_mispredictions	ipc	cpi	dcache_demand_miss_rate	icache_demand_miss_rate	l2_demand_miss_rate	branch_misprediction_rate	btb_hit_ratio
E33	Codebook-size scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	4	4	256	transformer_BERT_base_int8_noTiling_4D_CB_4_SVE_256.o	run_20260513_223200	/home/thu/gem5/output/run_20260513_223200/stats_20260513_223200.txt	1	interval_delta	1	after_mha	MHA	14.737189	5318906122	6852666502	58948756980	998677488	933605991	65071497	1308227037	539167374	903847670	532512	346056729	211852485	337291181	2051060							
E33	Codebook-size scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	4	4	256	transformer_BERT_base_int8_noTiling_4D_CB_4_SVE_256.o	run_20260513_223200	/home/thu/gem5/output/run_20260513_223200/stats_20260513_223200.txt	2	interval_delta	2	after_projection	Projection	4.872221	1454917550	1723109144	19488883852	164522746	158174401	6348345	241206198	113703761	206882818	205301	78341226	74528993	86549433	584548							
E33	Codebook-size scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	4	4	256	transformer_BERT_base_int8_noTiling_4D_CB_4_SVE_256.o	run_20260513_223200	/home/thu/gem5/output/run_20260513_223200/stats_20260513_223200.txt	3	interval_delta	3	after_attn_addnorm	non_GEMM_after_projection	0.016963	37615702	39966790	67850980	13772596	9030162	4742434	13692318	143075	10496349	42489	180774	115704	4016264	45008							
E33	Codebook-size scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	4	4	256	transformer_BERT_base_int8_noTiling_4D_CB_4_SVE_256.o	run_20260513_223200	/home/thu/gem5/output/run_20260513_223200/stats_20260513_223200.txt	4	interval_delta	4	after_ff1	FF1	19.651125	5792041152	6861464372	78604499384	648791933	627107257	21684676	955922328	453736956	816948298	692551	312375534	301439034	341013601	2166721							
E33	Codebook-size scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	4	4	256	transformer_BERT_base_int8_noTiling_4D_CB_4_SVE_256.o	run_20260513_223200	/home/thu/gem5/output/run_20260513_223200/stats_20260513_223200.txt	5	interval_delta	5	after_ff2	FF2	19.772715	5727252427	6794367325	79090859512	636930284	624856263	12074021	939233155	460872209	795381996	666416	314737287	306125603	333287917	938759							
E33	Codebook-size scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	4	4	256	transformer_BERT_base_int8_noTiling_4D_CB_4_SVE_256.o	run_20260513_223200	/home/thu/gem5/output/run_20260513_223200/stats_20260513_223200.txt	6	interval_delta	6	final_total	non_GEMM_after_ff2	0.031737	58735019	61410000	126948864	19827903	12906715	6921188	19695322	427509	16589901	47590	396615	247299	6289342	53903							
E33	Codebook-size scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	4	4	256	transformer_BERT_base_int8_noTiling_4D_CB_4_SVE_256.o	run_20260513_223200	/home/thu/gem5/output/run_20260513_223200/stats_20260513_223200.txt	7	final_total	6	final_total	total_program	59.081950	18389467972	22332984133	236327799572	2482522950	2365680789	116842161	3477976358	1568050884	2750147032	2186859	1052088165	894309118	1108447738	5839999	0.077813	12.851258	0.450851507485	0.000795178939	0.850032485633	0.005268628190	0.741735
