exp_id	study	model	d_q	d_seq	d_model	num_head	d_ff	implementation	n_learners	codebook_size	sve_bits	executable	gem5_timestamp	stats_file	row_index	row_kind	dump_index	checkpoint	interval	sim_seconds	instructions	ops	cpu_cycles	memory_references	load_instructions	store_instructions	dcache_demand_accesses	dcache_demand_misses	icache_demand_accesses	icache_demand_misses	l2_demand_accesses	l2_demand_misses	committed_branches	branch_mispredictions	ipc	cpi	dcache_demand_miss_rate	icache_demand_miss_rate	l2_demand_miss_rate	branch_misprediction_rate	btb_hit_ratio
E16	Learner scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	1	8	128	transformer_BERT_base_int8_noTiling_1D_CB_8_SVE_128.o	run_20260513_204819	/home/thu/gem5/output/run_20260513_204819/stats_20260513_204819.txt	1	interval_delta	1	after_mha	MHA	3.771038	8277617032	9432020211	15084151552	1549340112	1462348803	86991309	1366534939	19301522	1556393699	513968	19215641	521647	553873915	3457977							
E16	Learner scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	1	8	128	transformer_BERT_base_int8_noTiling_1D_CB_8_SVE_128.o	run_20260513_204819	/home/thu/gem5/output/run_20260513_204819/stats_20260513_204819.txt	2	interval_delta	2	after_projection	Projection	1.481493	2617865118	2981207576	5925971072	465652468	462613170	3039298	409267263	5390657	470279675	228700	5553688	4847750	170149644	563590							
E16	Learner scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	1	8	128	transformer_BERT_base_int8_noTiling_1D_CB_8_SVE_128.o	run_20260513_204819	/home/thu/gem5/output/run_20260513_204819/stats_20260513_204819.txt	3	interval_delta	3	after_attn_addnorm	non_GEMM_after_projection	0.005197	10588513	10967463	20789980	3670961	2532836	1138125	3663774	48512	3623099	38135	83559	34728	1381640	39166							
E16	Learner scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	1	8	128	transformer_BERT_base_int8_noTiling_1D_CB_8_SVE_128.o	run_20260513_204819	/home/thu/gem5/output/run_20260513_204819/stats_20260513_204819.txt	4	interval_delta	4	after_ff1	FF1	5.919624	10453863670	11906022765	23678494936	1857486713	1847778082	9708631	1631966771	21353294	1874439880	776778	21918911	20860897	677835350	2115913							
E16	Learner scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	1	8	128	transformer_BERT_base_int8_noTiling_1D_CB_8_SVE_128.o	run_20260513_204819	/home/thu/gem5/output/run_20260513_204819/stats_20260513_204819.txt	5	interval_delta	5	after_ff2	FF2	5.910257	10414576788	11868745176	23641026688	1855326077	1849008209	6317868	1620679629	19981636	1862863472	749688	20618983	19199215	672268494	898806							
E16	Learner scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	1	8	128	transformer_BERT_base_int8_noTiling_1D_CB_8_SVE_128.o	run_20260513_204819	/home/thu/gem5/output/run_20260513_204819/stats_20260513_204819.txt	6	interval_delta	6	final_total	non_GEMM_after_ff2	0.005141	10755863	11149896	20566628	3717573	2562018	1155555	3706531	54542	3670172	37134	88521	38541	1412556	38131							
E16	Learner scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	1	8	128	transformer_BERT_base_int8_noTiling_1D_CB_8_SVE_128.o	run_20260513_204819	/home/thu/gem5/output/run_20260513_204819/stats_20260513_204819.txt	7	final_total	6	final_total	total_program	17.092750	31785266984	36210113087	68371000856	5735193904	5626843118	108350786	5035818907	66130163	5771269997	2344403	67479303	45502778	2076921599	7113583	0.464894	2.151028	0.013131958123	0.000406219602	0.674321991737	0.003425060919	0.774049
