exp_id	study	model	d_q	d_seq	d_model	num_head	d_ff	implementation	n_learners	codebook_size	sve_bits	executable	gem5_timestamp	stats_file	row_index	row_kind	dump_index	checkpoint	interval	sim_seconds	instructions	ops	cpu_cycles	memory_references	load_instructions	store_instructions	dcache_demand_accesses	dcache_demand_misses	icache_demand_accesses	icache_demand_misses	l2_demand_accesses	l2_demand_misses	committed_branches	branch_mispredictions	ipc	cpi	dcache_demand_miss_rate	icache_demand_miss_rate	l2_demand_miss_rate	branch_misprediction_rate	btb_hit_ratio
E34	Codebook-size scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	4	16	256	transformer_BERT_base_int8_noTiling_4D_CB_16_SVE_256.o	run_20260513_223201	/home/thu/gem5/output/run_20260513_223201/stats_20260513_223201.txt	1	interval_delta	1	after_mha	MHA	15.527003	7409538420	8943698473	62108012020	1006613460	941188024	65425436	1121630145	537460148	990270068	541786	346397029	212388626	465182773	2072862							
E34	Codebook-size scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	4	16	256	transformer_BERT_base_int8_noTiling_4D_CB_16_SVE_256.o	run_20260513_223201	/home/thu/gem5/output/run_20260513_223201/stats_20260513_223201.txt	2	interval_delta	2	after_projection	Projection	5.102405	2153049858	2421496245	20409618244	167535533	160928131	6607402	169870291	150351246	252673101	221553	78405142	74560038	129419658	596420							
E34	Codebook-size scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	4	16	256	transformer_BERT_base_int8_noTiling_4D_CB_16_SVE_256.o	run_20260513_223201	/home/thu/gem5/output/run_20260513_223201/stats_20260513_223201.txt	3	interval_delta	3	after_attn_addnorm	non_GEMM_after_projection	0.019797	39415097	41933607	79191292	14282534	9344694	4937840	14168187	171216	11043133	43646	208744	132733	4356864	46301							
E34	Codebook-size scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	4	16	256	transformer_BERT_base_int8_noTiling_4D_CB_16_SVE_256.o	run_20260513_223201	/home/thu/gem5/output/run_20260513_223201/stats_20260513_223201.txt	4	interval_delta	4	after_ff1	FF1	20.560196	8578852803	9648718333	82240782196	659155704	637089561	22066143	668892488	600132346	998342868	725549	312524847	301473353	511409203	2197194							
E34	Codebook-size scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	4	16	256	transformer_BERT_base_int8_noTiling_4D_CB_16_SVE_256.o	run_20260513_223201	/home/thu/gem5/output/run_20260513_223201/stats_20260513_223201.txt	5	interval_delta	5	after_ff2	FF2	21.118991	8514457889	9582117784	84475963280	647462442	634924353	12538089	656900122	466036785	976217691	691453	319933356	311274525	503757726	974979							
E34	Codebook-size scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	4	16	256	transformer_BERT_base_int8_noTiling_4D_CB_16_SVE_256.o	run_20260513_223201	/home/thu/gem5/output/run_20260513_223201/stats_20260513_223201.txt	6	interval_delta	6	final_total	non_GEMM_after_ff2	0.034248	60531949	63373051	136991288	20336513	13220734	7115779	20194496	462775	17157294	48174	453045	274087	6629046	54937							
E34	Codebook-size scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	4	16	256	transformer_BERT_base_int8_noTiling_4D_CB_16_SVE_256.o	run_20260513_223201	/home/thu/gem5/output/run_20260513_223201/stats_20260513_223201.txt	7	final_total	6	final_total	total_program	62.362640	26755846016	30701337493	249450558320	2515386186	2396695497	118690689	2651655729	1754614516	3245704155	2272161	1057922163	900103362	1620755270	5942693	0.107259	9.323217	0.661705249596	0.000700051789	0.850821916281	0.003666619575	0.388451
