exp_id	study	model	d_q	d_seq	d_model	num_head	d_ff	implementation	n_learners	codebook_size	sve_bits	executable	gem5_timestamp	stats_file	row_index	row_kind	dump_index	checkpoint	interval	sim_seconds	instructions	ops	cpu_cycles	memory_references	load_instructions	store_instructions	dcache_demand_accesses	dcache_demand_misses	icache_demand_accesses	icache_demand_misses	l2_demand_accesses	l2_demand_misses	committed_branches	branch_mispredictions	ipc	cpi	dcache_demand_miss_rate	icache_demand_miss_rate	l2_demand_miss_rate	branch_misprediction_rate	btb_hit_ratio
E03	Dense baseline	BERT-mini	64	512	256	4	1024	Dense naive/default	4	NA	128	transformer_BERT_mini_int8_noTiling_4D_dense_baseline_SVE_128.o	run_20260512_020725	/home/thu/gem5/output/run_20260512_020725/stats_20260512_020725.txt	1	interval_delta	1	after_mha	MHA	11.846347	36341508515	41928666025	47379716980	15200385270	8117675912	7082709358	15263358033	59948890	15350977091	622885	60521089	14967862	5667953851	63451055							
E03	Dense baseline	BERT-mini	64	512	256	4	1024	Dense naive/default	4	NA	128	transformer_BERT_mini_int8_noTiling_4D_dense_baseline_SVE_128.o	run_20260512_020725	/home/thu/gem5/output/run_20260512_020725/stats_20260512_020725.txt	2	interval_delta	2	after_projection	Projection	1.730941	5193316160	5991593613	6914799174	2171376865	1159564745	1011812120	2180315269	5904964	2192516992	213737	6100340	2991782	810286991	9188059							
E03	Dense baseline	BERT-mini	64	512	256	4	1024	Dense naive/default	4	NA	128	transformer_BERT_mini_int8_noTiling_4D_dense_baseline_SVE_128.o	run_20260512_020725	/home/thu/gem5/output/run_20260512_020725/stats_20260512_020725.txt	3	interval_delta	3	after_attn_addnorm	non_GEMM_after_projection	0.013543	24244506	26402811	54173140	7901794	5293563	2608231	7838003	186445	9518500	146903	319861	106913	3845396	149522							
E03	Dense baseline	BERT-mini	64	512	256	4	1024	Dense naive/default	4	NA	128	transformer_BERT_mini_int8_noTiling_4D_dense_baseline_SVE_128.o	run_20260512_020725	/home/thu/gem5/output/run_20260512_020725/stats_20260512_020725.txt	4	interval_delta	4	after_ff1	FF1	6.667085	20738076517	23926195114	26514956860	8674219649	4631725004	4042494645	8710162396	40003779	8757269008	350724	40326419	5719034	3234280636	36266122							
E03	Dense baseline	BERT-mini	64	512	256	4	1024	Dense naive/default	4	NA	128	transformer_BERT_mini_int8_noTiling_4D_dense_baseline_SVE_128.o	run_20260512_020725	/home/thu/gem5/output/run_20260512_020725/stats_20260512_020725.txt	5	interval_delta	5	after_ff2	FF2	8.294134	20739075303	23927479037	33176242481	8674663327	4631969247	4042694080	8710615936	41286001	8757685416	398217	41652476	34929685	3234437018	36293835							
E03	Dense baseline	BERT-mini	64	512	256	4	1024	Dense naive/default	4	NA	128	transformer_BERT_mini_int8_noTiling_4D_dense_baseline_SVE_128.o	run_20260512_020725	/home/thu/gem5/output/run_20260512_020725/stats_20260512_020725.txt	6	interval_delta	6	final_total	non_GEMM_after_ff2	0.013458	24233529	26391066	53832680	7898470	5291381	2607089	7834741	186057	9514795	146118	318244	106401	3843319	148808							
E03	Dense baseline	BERT-mini	64	512	256	4	1024	Dense naive/default	4	NA	128	transformer_BERT_mini_int8_noTiling_4D_dense_baseline_SVE_128.o	run_20260512_020725	/home/thu/gem5/output/run_20260512_020725/stats_20260512_020725.txt	7	final_total	6	final_total	total_program	28.565508	83060454530	95826727666	114093721315	34736445375	18551519852	16184925523	34880124378	147516136	35077481802	1878584	149238429	58821677	12954647211	145497401	0.728002	1.373623	0.004229231937	0.000053555270	0.394145645958	0.011231290102	0.902555
