exp_id	study	model	d_q	d_seq	d_model	num_head	d_ff	implementation	n_learners	codebook_size	sve_bits	executable	gem5_timestamp	stats_file	row_index	row_kind	dump_index	checkpoint	interval	sim_seconds	instructions	ops	cpu_cycles	memory_references	load_instructions	store_instructions	dcache_demand_accesses	dcache_demand_misses	icache_demand_accesses	icache_demand_misses	l2_demand_accesses	l2_demand_misses	committed_branches	branch_mispredictions	ipc	cpi	dcache_demand_miss_rate	icache_demand_miss_rate	l2_demand_miss_rate	branch_misprediction_rate	btb_hit_ratio
E20	Learner scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	2	8	256	transformer_BERT_base_int8_noTiling_2D_CB_8_SVE_256.o	run_20260513_215911	/home/thu/gem5/output/run_20260513_215911/stats_20260513_215911.txt	1	interval_delta	1	after_mha	MHA	7.756827	7085089879	7932670294	31027306168	651038192	610408774	40629418	799768472	221671502	1076624897	290658	171883432	87713753	466205095	3056599							
E20	Learner scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	2	8	256	transformer_BERT_base_int8_noTiling_2D_CB_8_SVE_256.o	run_20260513_215911	/home/thu/gem5/output/run_20260513_215911/stats_20260513_215911.txt	2	interval_delta	2	after_projection	Projection	2.801913	2104117394	2286832354	11207652060	130481613	127103399	3378214	162417461	53523508	290534617	126018	38829271	36298300	132566393	911441							
E20	Learner scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	2	8	256	transformer_BERT_base_int8_noTiling_2D_CB_8_SVE_256.o	run_20260513_215911	/home/thu/gem5/output/run_20260513_215911/stats_20260513_215911.txt	3	interval_delta	3	after_attn_addnorm	non_GEMM_after_projection	0.009744	21738581	22271737	38975916	6762693	4665311	2097382	6728065	82932	6165917	40961	120203	57990	1965962	42370							
E20	Learner scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	2	8	256	transformer_BERT_base_int8_noTiling_2D_CB_8_SVE_256.o	run_20260513_215911	/home/thu/gem5/output/run_20260513_215911/stats_20260513_215911.txt	4	interval_delta	4	after_ff1	FF1	11.370337	8400543601	9129331933	45481349944	516512414	505199350	11313064	644437389	213224149	1156303570	381513	156727250	148789724	527256402	3508117							
E20	Learner scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	2	8	256	transformer_BERT_base_int8_noTiling_2D_CB_8_SVE_256.o	run_20260513_215911	/home/thu/gem5/output/run_20260513_215911/stats_20260513_215911.txt	5	interval_delta	5	after_ff2	FF2	11.697132	8378968557	9110200314	46788528740	512048237	505502558	6545679	637075259	216061177	1138915420	383578	159149181	153474273	522054046	1124416							
E20	Learner scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	2	8	256	transformer_BERT_base_int8_noTiling_2D_CB_8_SVE_256.o	run_20260513_215911	/home/thu/gem5/output/run_20260513_215911/stats_20260513_215911.txt	6	interval_delta	6	final_total	non_GEMM_after_ff2	0.015738	32348835	33050876	62952688	9805580	6611350	3194230	9744267	204720	9183836	42951	205937	104247	3113550	46949							
E20	Learner scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	2	8	256	transformer_BERT_base_int8_noTiling_2D_CB_8_SVE_256.o	run_20260513_215911	/home/thu/gem5/output/run_20260513_215911/stats_20260513_215911.txt	7	final_total	6	final_total	total_program	33.651691	26022806847	28514357508	134606765516	1826648729	1759490742	67157987	2260170913	704767988	3677728257	1265679	526915274	426438287	1653161448	8689892	0.193325	5.172646	0.311820660971	0.000344146960	0.809310923486	0.005256529549	0.739481
