exp_id	study	model	d_q	d_seq	d_model	num_head	d_ff	implementation	n_learners	codebook_size	sve_bits	executable	gem5_timestamp	stats_file	row_index	row_kind	dump_index	checkpoint	interval	sim_seconds	instructions	ops	cpu_cycles	memory_references	load_instructions	store_instructions	dcache_demand_accesses	dcache_demand_misses	icache_demand_accesses	icache_demand_misses	l2_demand_accesses	l2_demand_misses	committed_branches	branch_mispredictions	ipc	cpi	dcache_demand_miss_rate	icache_demand_miss_rate	l2_demand_miss_rate	branch_misprediction_rate	btb_hit_ratio
E23	Learner scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	2	8	512	transformer_BERT_base_int8_noTiling_2D_CB_8_SVE_512.o	run_20260513_221742	/home/thu/gem5/output/run_20260513_221742/stats_20260513_221742.txt	1	interval_delta	1	after_mha	MHA	6.729862	4256473614	4683803045	26919447104	357112538	319611539	37500999	577595609	221098411	645000311	268232	171772523	87719163	336464134	6563744							
E23	Learner scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	2	8	512	transformer_BERT_base_int8_noTiling_2D_CB_8_SVE_512.o	run_20260513_221742	/home/thu/gem5/output/run_20260513_221742/stats_20260513_221742.txt	2	interval_delta	2	after_projection	Projection	2.498634	1266865353	1359838856	9994535896	68363116	65147472	3215644	115754910	46036871	174469007	118705	38793078	36287079	98591549	2082015							
E23	Learner scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	2	8	512	transformer_BERT_base_int8_noTiling_2D_CB_8_SVE_512.o	run_20260513_221742	/home/thu/gem5/output/run_20260513_221742/stats_20260513_221742.txt	3	interval_delta	3	after_attn_addnorm	non_GEMM_after_projection	0.009624	21684471	22206137	38498708	6743028	4655005	2088023	6707701	81823	6138662	40376	118401	56620	1955010	40250							
E23	Learner scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	2	8	512	transformer_BERT_base_int8_noTiling_2D_CB_8_SVE_512.o	run_20260513_221742	/home/thu/gem5/output/run_20260513_221742/stats_20260513_221742.txt	4	interval_delta	4	after_ff1	FF1	10.145982	5052457671	5422292639	40583924628	268503779	257682436	10821343	458259629	183305793	692471568	357674	156663670	148455028	391498116	8188214							
E23	Learner scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	2	8	512	transformer_BERT_base_int8_noTiling_2D_CB_8_SVE_512.o	run_20260513_221742	/home/thu/gem5/output/run_20260513_221742/stats_20260513_221742.txt	5	interval_delta	5	after_ff2	FF2	10.492759	5004816280	5373556144	41971036720	261928231	255874169	6054062	449415564	185736362	682970550	361991	159119983	153462854	385918400	8164845							
E23	Learner scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	2	8	512	transformer_BERT_base_int8_noTiling_2D_CB_8_SVE_512.o	run_20260513_221742	/home/thu/gem5/output/run_20260513_221742/stats_20260513_221742.txt	6	interval_delta	6	final_total	non_GEMM_after_ff2	0.015742	32307242	33010646	62970604	9795600	6612434	3183166	9746770	204851	9149061	45487	208740	103998	3102564	47287							
E23	Learner scaling	BERT-base	64	512	768	12	3072	Codebook SIMD int8	2	8	512	transformer_BERT_base_int8_noTiling_2D_CB_8_SVE_512.o	run_20260513_221742	/home/thu/gem5/output/run_20260513_221742/stats_20260513_221742.txt	7	final_total	6	final_total	total_program	29.892603	15634604631	16894707467	119570413660	972446292	909583055	62863237	1617480183	636464111	2210199159	1192465	526676395	426084742	1217529773	25086355	0.130756	7.647805	0.393491133733	0.000539528302	0.809006718442	0.020604305173	0.363555
